member_id,first_name,last_name,email,phone,birth_date,registration_date,city,postal_code,subscription_type
MEM00059,Sophie,Dubois,sophie.dubois59@email.fr,0630005727,26/03/1953,14/01/2024,Bordeaux,33000,Senior
MEM00060,Sarah,Robert,sarah.robert60@email.fr,0667684996,1953-10-02,2023-11-12,Marseille,13001,VIP
MEM00061,Marie,Laurent,marie.laurent61@email.fr,0638195995,21/05/1972,13/11/2024,Rennes,35000,Basic
MEM00062,Emma,Roux,emma.roux62@email.fr,0664543049,1963-11-13,31/08/2023,Lille,59000,Premium
MEM00063,Claire,Michel,claire.michel63@email.fr,0613326769,21/10/1979,2024-02-26,Marseille,13001,Premium
MEM00064,Marc,Richard,marc.richard64@email.fr,0624508349,1953-06-22,26/04/2024,Strasbourg,67000,Premium
MEM00065,Thomas,Garcia,thomas.garcia65@email.fr,0656930359,02/06/1970,17/08/2023,Nice,06000,Basic
MEM00066,Chloé,Petit,chloé.petit66@email.fr,0663481198,1974-12-30,2023-03-13,Nantes,44000,VIP
MEM00067,Emma,Bertrand,emma.bertrand67@email.fr,0663643924,08/02/1998,06/12/2023,Rennes,35000,Basic
MEM00068,Sophie,Leroy,sophie.leroy68@email.fr,0633966966,1973-10-25,09/02/2023,Lille,59000,Basic
MEM00069,Léa,Michel,léa.michel69@email.fr,0656397338,21/02/1978,2024-03-22,Reims,51100,Senior
MEM00070,Julien,Thomas,julien.thomas70@email.fr,0661700055,1967-01-20,18/09/2023,Lille,59000,Basic
MEM00071,Maxime,Michel,maxime.michel71@email.fr,0610226999,22/04/1998,17/11/2024,Bordeaux,33000,Premium
MEM00072,Emma,Michel,emma.michel72@email.fr,0619391725,1979-08-16,2024-09-30,Rennes,35000,VIP
MEM00073,Chloé,Thomas,chloé.thomas73@email.fr,0650308572,30/09/1977,13/11/2024,Bordeaux,33000,Student
MEM00074,Nicolas,Lefebvre,nicolas.lefebvre74@email.fr,0649682169,1961-06-02,16/07/2023,Bordeaux,33000,Student
MEM00075,Chloé,Lefebvre,chloé.lefebvre75@email.fr,0633357554,21/01/2001,2023-11-05,Lille,59000,Student
MEM00076,Sarah,Martin,sarah.martin76@email.fr,0650785405,1968-11-09,16/03/2024,Nice,06000,Senior
MEM00077,Léa,Simon,léa.simon77@email.fr,0672409658,01/09/1989,22/11/2024,Montpellier,34000,Premium
MEM00078,Julien,David,julien.david78@email.fr,0632775593,1957-08-10,2023-10-18,Rennes,35000,Senior
MEM00079,Chloé,Fournier,chloé.fournier79@email.fr,0654988206,27/01/1971,19/11/2024,Lyon,69001,VIP
MEM00080,Julie,Petit,julie.petit80@email.fr,0629777514,1954-02-23,08/09/2023,Paris,75001,Student
MEM00081,Léa,Dubois,léa.dubois81@email.fr,0671124923,24/08/2001,2023-07-19,Strasbourg,67000,Student
MEM00082,Laura,Lefebvre,laura.lefebvre82@email.fr,0642747037,1950-07-01,20/04/2023,Marseille,13001,Student
MEM00083,Julie,Richard,julie.richard83@email.fr,0679519112,04/07/1954,24/07/2024,Montpellier,34000,Premium
MEM00084,Sophie,Garcia,sophie.garcia84@email.fr,0627896471,1997-08-26,2024-07-26,Montpellier,34000,Senior
MEM00085,Nicolas,Garcia,nicolas.garcia85@email.fr,0692228802,15/04/1995,12/03/2024,Reims,51100,Senior
MEM00086,David,Richard,david.richard86@email.fr,0673709724,1973-04-03,11/09/2023,Montpellier,34000,VIP
MEM00087,Julien,David,julien.david87@email.fr,0694120751,21/08/1974,2024-03-26,Toulouse,31000,Basic
MEM00088,Maxime,Moreau,maxime.moreau88@email.fr,0641473195,1980-02-18,24/11/2023,Nice,750012,Senior
MEM00089,Pierre,Robert,pierre.robert89@email.fr,0630244148,13/05/1984,06/06/2023,Toulouse,31000,Premium
MEM00090,Pierre,Michel,pierre.michel90@email.fr,0664707061,1998-09-06,2024-04-22,Nantes,44000,Student
MEM00091,Marie,Petit,marie.petit91@email.fr,0666390708,27/05/2002,21/01/2023,Strasbourg,67000,Senior
MEM00092,Laurent,David,laurent.david92@email.fr,0610791358,1976-10-15,04/02/2024,Nantes,44000,Student
MEM00093,Sarah,Roux,sarah.roux93@email.fr,0690967191,20/10/1993,2023-08-13,Toulouse,31000,VIP
MEM00094,Camille,David,camille.david94@email.fr,0613895645,1980-02-27,15/11/2024,Strasbourg,67000,Student
MEM00095,Manon,Richard,manon.richard95@email.fr,0672732043,29/10/2005,30/06/2024,Marseille,13001,Basic
MEM00096,Laurent,Vincent,laurent.vincent96@email.fr,0685751409,1952-06-07,2023-03-27,Rennes,35000,Student
MEM00097,Luc,Garcia,luc.garcia97@email.fr,0634391257,04/05/1973,24/01/2024,Paris,75001,VIP
MEM00098,Thomas,Garcia,thomas.garcia98@email.fr,0653868501,1984-01-06,12/10/2023,Nantes,44000,Student
MEM00099,Marc,Dubois,marc.dubois99@email.fr,0673123515,24/05/1998,2023-02-23,Paris,75001,VIP
MEM00100,Julie,Dubois,julie.dubois100@email.fr,0697477029,1952-10-13,11/09/2023,Paris,75001,Premium
MEM00101,Jean,Fournier,jean.fournier101@email.fr,0630452412,29/04/1961,29/04/2024,Toulouse,31000,Basic
MEM00102,Alexandre,Petit,alexandre.petit102@email.fr,0672415804,1972-12-27,2024-01-13,Reims,51100,Premium
MEM00103,Léa,Fournier,léa.fournier103@email.fr,0625372341,27/11/1977,21/04/2023,Marseille,13001,Senior
MEM00104,Jean,Moreau,jean.moreau104@email.fr,0687282128,1983-09-03,11/02/2024,Rennes,35000,Premium
MEM00105,Pierre,Vincent,pierre.vincent105@email.fr,0694187049,22/02/1959,2023-11-05,Toulouse,31000,Senior
MEM00106,Sophie,Vincent,sophie.vincent106@email.fr,0615512205,1997-10-17,14/03/2024,Nantes,44000,VIP
MEM00107,Pierre,Bertrand,pierre.bertrand107@email.fr,0696911784,19/02/1951,06/03/2024,Nantes,44000,Student
MEM00108,Sophie,Michel,sophie.michel108@email.fr,0658612055,1991-03-31,2023-06-06,Rennes,35000,Student
MEM00109,Claire,Bertrand,claire.bertrand109@email.fr,0697302916,04/04/2005,05/07/2024,Nice,06000,Student
MEM00110,David,Michel,david.michel110@email.fr,0689520597,1978-12-01,09/09/2023,Nice,06000,Basic
MEM00111,Marc,Garcia,marc.garcia111@email.fr,0642730796,14/02/2001,2024-09-16,Montpellier,34000,Student
MEM00112,Nicolas,Martin,nicolas.martin112@email.fr,0676344695,1966-04-25,14/05/2024,Nantes,44000,Premium
MEM00113,Emma,Leroy,emma.leroy113@email.fr,0655679506,26/06/2003,10/10/2023,Nice,06000,Senior
MEM00114,Jean,Bertrand,jean.bertrand114@email.fr,0635643159,1971-08-27,2024-02-21,Lyon,69001,Student
MEM00115,Sarah,Durand,sarah.durand115@email.fr,0673900135,13/01/1994,03/04/2024,Rennes,35000,Basic
MEM00116,Pierre,Moreau,pierre.moreau116@email.fr,0639742165,1971-10-30,10/11/2023,Strasbourg,67000,Senior
MEM00117,Emma,David,emma.david117@email.fr,0684285882,03/11/1980,2024-03-11,Bordeaux,33000,Senior
MEM00118,Nicolas,Laurent,nicolas.laurent118@email.fr,0670900658,1977-07-05,15/09/2023,Nice,06000,Premium
MEM00119,Sophie,Petit,sophie.petit119@email.fr,0652352128,28/01/1998,09/07/2023,Lyon,69001,Premium
MEM00120,Thomas,David,thomas.david120@email.fr,0647111151,2002-11-23,2024-06-21,Reims,51100,Senior
MEM00121,Anne,Thomas,anne.thomas121@email.fr,0636054020,30/05/1970,05/01/2024,Nice,06000,Premium
MEM00122,Anne,Martin,anne.martin122@email.fr,0681690398,1974-08-11,16/02/2023,Marseille,13001,Basic
MEM00123,Sarah,Moreau,sarah.moreau123@email.fr,0626948946,15/01/1994,2023-04-16,Rennes,35000,Basic
MEM00124,Alexandre,Moreau,alexandre.moreau124@email.fr,0673001391,1989-07-08,15/12/2023,Montpellier,34000,Premium
MEM00125,Marie,Leroy,marie.leroy125@email.fr,0674119726,12/11/1955,15/02/2024,Lyon,69001,Student
MEM00126,Pierre,Vincent,pierre.vincent126@email.fr,0694482772,1954-10-23,2023-06-05,Rennes,35000,Premium
MEM00127,Alexandre,Moreau,alexandre.moreau127@email.fr,0621432787,17/08/1960,25/07/2024,Toulouse,31000,Student
MEM00128,Léa,Fournier,léa.fournier128@email.fr,0693002706,1996-11-18,25/01/2024,Toulouse,31000,Student
MEM00129,David,Moreau,david.moreau129@email.fr,0688990506,25/05/1977,2024-08-05,Strasbourg,67000,Senior
MEM00130,Marie,Fournier,marie.fournier130@email.fr,0623318904,1968-12-06,28/09/2023,Toulouse,31000,Basic
MEM00131,Claire,Durand,claire.durand131@email.fr,0633328859,25/09/1956,10/06/2023,Bordeaux,33000,Basic
MEM00132,Camille,Garcia,camille.garcia132@email.fr,0689699989,1976-02-17,2023-02-03,Montpellier,34000,Premium
MEM00133,Anne,Moreau,anne.moreau133@email.fr,0670939053,10/12/1970,28/09/2023,Lyon,69001,Senior
MEM00134,Chloé,Petit,chloé.petit134@email.fr,0667061186,1998-11-09,19/08/2023,Lyon,69001,Premium
MEM00135,Marc,Robert,marc.robert135@email.fr,0619584466,19/11/1964,2023-11-11,Paris,75001,Senior
MEM00136,Manon,Vincent,manon.vincent136@email.fr,0648736657,1961-02-26,24/04/2024,Montpellier,34000,VIP
MEM00137,Maxime,Lefebvre,maxime.lefebvre137@email.fr,0646540265,12/06/1998,20/05/2024,Bordeaux,33000,Student
MEM00138,Pierre,Fournier,pierre.fournier138@email.fr,0615350023,1978-12-01,2024-09-10,Strasbourg,67000,VIP
MEM00139,Jean,Dubois,jean.dubois139@email.fr,0640725714,09/08/2001,24/08/2024,Rennes,35000,Basic
MEM00140,Chloé,Leroy,chloé.leroy140@email.fr,0687342561,1965-09-19,26/04/2024,Paris,75001,Senior
MEM00141,Antoine,Garcia,antoine.garcia141@email.fr,0647333543,07/07/2002,2024-03-22,Marseille,13001,Student
MEM00142,Pierre,David,pierre.david142@email.fr,0656702542,1979-11-26,25/11/2023,Strasbourg,67000,Basic
MEM00143,Claire,Simon,claire.simon143@email.fr,0665250068,14/06/1994,23/10/2023,Reims,51100,Student
MEM00144,Sarah,Bernard,sarah.bernard144@email.fr,0671045700,1978-03-21,2023-09-16,Lyon,69001,VIP
MEM00145,Sophie,Lefebvre,sophie.lefebvre145@email.fr,0679067939,05/09/1998,18/04/2024,Paris,75001,Student
MEM00146,Marie,Petit,marie.petit146@email.fr,0679583757,2005-11-10,25/05/2024,Nantes,44000,Student
MEM00147,Marie,Petit,marie.petit147@email.fr,0645843681,03/10/1961,2023-10-22,Bordeaux,33000,Student
MEM00148,Maxime,David,maxime.david148@email.fr,0626297533,2004-08-16,03/09/2023,Paris,75001,Premium
MEM00149,Anne,Roux,anne.roux149@email.fr,0611835355,09/08/1986,06/04/2023,Bordeaux,33000,Premium
MEM00150,Sophie,Garcia,sophie.garcia150@email.fr,0625766039,1963-10-25,2024-05-25,Rennes,35000,VIP
MEM00151,Julien,Leroy,julien.leroy151@email.fr,0665766169,13/05/1992,07/09/2023,Montpellier,34000,Student
MEM00152,Sarah,Robert,sarah.robert152@email.fr,0661484043,2003-10-10,04/06/2024,Toulouse,31000,Premium
MEM00153,Pierre,Leroy,pierre.leroy153@email.fr,0665692629,21/07/1995,2023-10-01,Nantes,44000,Basic
MEM00154,Anne,Moreau,anne.moreau154@email.fr,0688777447,1993-12-05,02/06/2023,Lille,59000,Student
MEM00155,Sarah,David,sarah.david155@email.fr,0656321751,08/07/1999,10/07/2024,Nantes,44000,Student
MEM00156,David,Simon,david.simon156@email.fr,0635320492,1971-06-05,2024-08-08,Reims,51100,Student
MEM00157,Julie,Michel,julie.michel157@email.fr,0615858241,20/04/2026,29/04/2024,Nantes,44000,Student
MEM00158,Laurent,Robert,laurent.robert158@email.fr,0676481885,1961-04-29,29/05/2024,Paris,75001,Senior
MEM00159,Nicolas,Thomas,nicolas.thomas159@email.fr,0669096899,09/03/1997,2024-04-12,Lyon,69001,Basic
MEM00160,Manon,Robert,manon.robert160@email.fr,0665026398,1963-11-07,18/03/2023,Rennes,35000,Student
MEM00161,Marc,Simon,marc.simon161@email.fr,0693652460,29/08/1985,27/10/2024,Reims,51100,Basic
MEM00162,Nicolas,Roux,nicolas.roux162@email.fr,0661003997,1993-10-11,2024-07-08,Nantes,44000,Basic
MEM00163,Léa,Dubois,léa.dubois163@email.fr,0641510328,13/10/1975,21/08/2023,Rennes,35000,Basic
MEM00164,Camille,Thomas,camille.thomas164@email.fr,0695060193,1959-01-07,30/03/2024,Reims,51100,Premium
MEM00165,Maxime,Moreau,maxime.moreau165@email.fr,0613885234,07/02/1979,2023-02-27,Paris,75001,VIP
MEM00166,Emma,Laurent,emma.laurent166@email.fr,0667805802,1971-11-28,27/06/2024,Marseille,13001,Student
MEM00167,Alexandre,Richard,alexandre.richard167@email.fr,0632814819,31/01/1957,16/09/2024,Marseille,13001,Student
MEM00168,Léa,Durand,léa.durand168@email.fr,0676795767,1962-11-03,2023-08-26,Lille,59000,Student
MEM00169,Antoine,Leroy,antoine.leroy169@email.fr,0671682508,04/11/1950,21/04/2024,Nice,06000,VIP
MEM00170,Chloé,Roux,chloé.roux170@email.fr,0631203129,1989-08-18,20/12/2023,Lyon,69001,Senior
MEM00171,Anne,Michel,anne.michel171@email.fr,0643567615,07/02/1977,2023-07-23,Montpellier,34000,Student
MEM00172,Laura,Thomas,laura.thomas172@email.fr,0641837210,2001-04-23,03/01/2024,Strasbourg,67000,Senior
MEM00173,Anne,Moreau,anne.moreau173@email.fr,0612944682,05/07/1985,09/10/2023,Rennes,35000,Basic
MEM00174,Alexandre,Bernard,alexandre.bernard174@email.fr,0691390501,1994-07-25,2023-10-21,Reims,51100,Premium
MEM00175,Léa,Laurent,léa.laurent175@email.fr,0639394291,22/01/1967,27/09/2024,Rennes,35000,VIP
MEM00176,Chloé,Robert,chloé.robert176@email.fr,0694322033,1953-07-15,13/11/2023,Lyon,69001,Student
MEM00177,Marie,Vincent,marie.vincent177@email.fr,0658970845,16/10/1961,2023-04-03,Reims,51100,VIP
MEM00178,Nicolas,Michel,nicolas.michel178@email.fr,0633574011,1961-11-09,06/07/2024,Toulouse,31000,VIP
MEM00179,Julien,Bertrand,julien.bertrand179@email.fr,0646578001,20/01/1973,08/05/2024,Marseille,13001,VIP
MEM00180,Manon,Simon,manon.simon180@email.fr,0625457816,1956-10-03,2023-05-25,Montpellier,34000,Premium
MEM00181,Chloé,Lefebvre,chloé.lefebvre181@email.fr,0684801233,07/02/1958,09/02/2024,Nantes,44000,Basic
MEM00182,Marc,Roux,marc.roux182@email.fr,0626587799,1983-01-25,19/11/2024,Montpellier,34000,VIP
MEM00183,Alexandre,Lefebvre,alexandre.lefebvre183@email.fr,0695704631,21/09/1959,2024-11-22,Nantes,44000,Premium
MEM00184,Laura,Martin,laura.martin184@email.fr,0693154172,1979-06-06,16/09/2024,Bordeaux,33000,Premium
MEM00185,Antoine,Dubois,antoine.dubois185@email.fr,0695282470,10/02/1977,26/10/2024,Montpellier,34000,Student
MEM00186,Sophie,Robert,sophie.robert186@email.fr,0616086345,1977-04-22,2024-05-19,Paris,75001,Basic
MEM00187,Sophie,Durand,sophie.durand187@email.fr,0682148284,13/11/1984,09/04/2024,Marseille,13001,VIP
MEM00188,Chloé,Roux,chloé.roux188@email.fr,0666254240,1963-11-12,29/02/2024,Lille,59000,Basic
MEM00189,Laura,Fournier,laura.fournier189@email.fr,0664776386,08/12/1952,2024-01-15,Nice,06000,Premium
MEM00190,David,Garcia,david.garcia190@email.fr,0641690501,1958-11-30,12/01/2024,Nantes,44000,Senior
MEM00191,Antoine,Laurent,antoine.laurent191@email.fr,0618126895,02/10/1974,14/07/2023,Strasbourg,67000,Basic
MEM00192,David,Dubois,david.dubois192@email.fr,0698955314,2003-07-29,2023-01-22,Toulouse,31000,Basic
MEM00193,Nicolas,Durand,nicolas.durand193@email.fr,0626901217,30/05/1968,12/03/2023,Lille,59000,Senior
MEM00194,Thomas,Vincent,thomas.vincent194@email.fr,0638984499,1979-06-24,01/06/2023,Toulouse,31000,Senior
MEM00195,Jean,Leroy,jean.leroy195@email.fr,0629419691,19/06/1998,2023-09-14,Marseille,13001,Premium
MEM00196,Sophie,Martin,sophie.martin196@email.fr,0627690330,1982-02-20,01/09/2023,Paris,75001,Senior
MEM00197,Nicolas,Martin,nicolas.martin197@email.fr,0633386929,14/09/1954,10/05/2023,Nice,06000,Student
MEM00198,Julien,Thomas,julien.thomas198@email.fr,0618530615,1990-03-21,2024-01-06,Montpellier,34000,Senior
MEM00199,Alexandre,Thomas,alexandre.thomas199@email.fr,0670667140,16/11/1969,21/09/2024,Bordeaux,ABC12,Basic
MEM00200,Manon,Bertrand,manon.bertrand200@email.fr,0650484137,1952-10-17,04/03/2023,Montpellier,34000,Student
MEM00201,Laurent,Michel,laurent.michel201@email.fr,0624490391,17/10/1989,2023-03-17,Montpellier,34000,Basic
MEM00202,Nicolas,Fournier,nicolas.fournier202@email.fr,0629909029,1961-04-28,09/10/2023,Lyon,69001,Senior
MEM00203,Antoine,Vincent,antoine.vincent203@email.fr,0683599154,05/03/1979,26/01/2024,Reims,51100,Senior
MEM00204,Julien,Moreau,julien.moreau204@email.fr,0670896652,2004-04-25,2024-03-16,Bordeaux,33000,Basic
MEM00205,Maxime,Thomas,maxime.thomas205@email.fr,0697874085,19/06/1999,09/08/2023,Rennes,35000,Student
MEM00206,David,Durand,david.durand206@email.fr,0665541117,1990-09-08,13/02/2024,Nantes,44000,Student
MEM00207,Manon,Thomas,manon.thomas207@email.fr,0651949529,14/01/1978,2024-11-12,Strasbourg,67000,VIP
MEM00208,Emma,Robert,emma.robert208@email.fr,0673655158,1958-03-09,29/03/2023,Lyon,69001,Basic
MEM00209,Camille,Thomas,camille.thomas209@email.fr,0660015814,01/12/1999,03/03/2023,Marseille,13001,Senior
MEM00210,Sarah,Roux,sarah.roux210@email.fr,0654244334,1960-12-19,2024-02-25,Rennes,35000,VIP
MEM00211,Chloé,Michel,chloé.michel211@email.fr,0616904975,13/11/2003,16/11/2023,Nice,06000,VIP
MEM00212,Sophie,Vincent,sophie.vincent212@email.fr,0678103759,1963-11-19,03/11/2024,Toulouse,31000,Student
MEM00213,Julie,Thomas,julie.thomas213@email.fr,0656991504,23/12/1982,2023-04-28,Bordeaux,33000,VIP
MEM00214,Alexandre,Durand,alexandre.durand214@email.fr,0667594492,2005-10-11,20/09/2024,Bordeaux,33000,Senior
MEM00215,Jean,Fournier,jean.fournier215@email.fr,0698292612,29/12/1973,30/01/2023,Reims,51100,Premium
MEM00216,Marc,Moreau,marc.moreau216@email.fr,0655610493,1950-07-20,2023-07-05,Nantes,44000,Premium
MEM00217,Alexandre,Lefebvre,alexandre.lefebvre217@email.fr,0619339597,01/10/1952,04/04/2023,Marseille,13001,Senior
MEM00218,Thomas,Lefebvre,thomas.lefebvre218@email.fr,0666348963,1980-08-01,11/06/2023,Montpellier,34000,VIP
MEM00219,Anne,Simon,anne.simon219@email.fr,0686181117,15/08/1957,2023-02-23,Lille,59000,Premium
MEM00220,Claire,Fournier,claire.fournier220@email.fr,0616679008,1957-04-27,06/10/2023,Rennes,35000,Student
MEM00221,Chloé,Michel,chloé.michel221@email.fr,0675184410,28/08/1989,29/02/2024,Lille,59000,VIP
MEM00222,Thomas,Bertrand,thomas.bertrand222@email.fr,0625276327,1988-07-27,2023-04-24,Nantes,44000,VIP
MEM00223,Chloé,Vincent,chloé.vincent223@email.fr,0675314742,02/09/1977,16/02/2023,Bordeaux,33000,Premium
MEM00224,Laurent,Fournier,laurent.fournier224@email.fr,0617352710,1968-05-04,05/11/2023,Paris,75001,Premium
MEM00225,Luc,Leroy,luc.leroy225@email.fr,0648848936,06/10/1960,2023-01-08,Nantes,44000,Student
MEM00226,Manon,Michel,manon.michel226@email.fr,0633581357,1984-02-10,29/06/2024,Marseille,13001,Premium
MEM00227,Julien,Roux,julien.roux227@email.fr,0699663907,19/06/1956,11/02/2024,Nantes,44000,Basic
MEM00228,Camille,Martin,camille.martin228@email.fr,0671707170,1978-02-01,2024-08-12,Lyon,69001,Student
MEM00229,Alexandre,Lefebvre,alexandre.lefebvre229@email.fr,0695918360,22/12/1975,28/04/2023,Strasbourg,67000,Student
MEM00230,Jean,Simon,jean.simon230@email.fr,0633068427,1991-04-12,06/01/2024,Lille,59000,Basic
MEM00231,Camille,Thomas,camille.thomas231@email.fr,0642657384,31/10/2002,2024-02-15,Strasbourg,67000,Senior
MEM00232,Pierre,Lefebvre,pierre.lefebvre232@email.fr,0651644346,1980-06-17,15/08/2023,Reims,51100,VIP
MEM00233,Claire,Dubois,claire.dubois233@email.fr,0678515906,25/03/1960,27/06/2024,Rennes,35000,Senior
MEM00234,Thomas,Laurent,thomas.laurent234@email.fr,0657123808,2012-09-10,2024-10-22,Reims,51100,Premium
